language,bpe_byte_16k,bpe_grapheme_16k,o200k
amh_Ethi,1.5328644086137864,1.5075456035418573,0.4560886084100715
ary_Arab,2.2593784762490827,2.2249906768599663,2.395568270220081
arz_Arab,2.268188642375426,2.2385813067406746,2.519855977973102
eng_Latn,2.574179644048943,2.5244534339348212,4.1335541249581365
grn_Latn,2.7601814252808055,2.711503020971843,2.4324369572041435
hau_Latn,2.74337979506354,2.7030801874693964,2.7826932309169465
hun_Latn,2.4542520148602285,2.408822826173587,2.507706029994399
ory_Orya,2.5311441230127705,2.470461049284579,0.8699845477415069
quy_Latn,3.2626322734211275,3.2033734694914395,2.564861896432494
swh_Latn,2.821274660026815,2.7718344976830616,2.9515830077146576
ukr_Cyrl,2.257991222278324,2.1967315322123557,2.4736830908007827
zho_Hans,1.0249817916970139,1.1084011551588344,1.2582029503799732
