language,bpe_byte_8k,bpe_grapheme_8k,o200k
amh_Ethi,3.0912290825158686,3.260069244085401,8.960761684939412
ary_Arab,2.468222001360046,2.642569440811843,2.0844797823926347
arz_Arab,2.4207126377851833,2.5963599077159705,1.9365290951038194
eng_Latn,2.243139582667458,2.391534633121775,1.227021597187343
grn_Latn,2.7076413856074875,2.891057467328654,2.7269873880043374
hau_Latn,1.8772062331054222,1.9930434091270472,1.6560661472412148
hun_Latn,3.0188648995297136,3.252351432235998,2.5763681060282173
ory_Orya,2.7540774719673804,2.8444954128440365,6.8277777777777775
quy_Latn,2.7114093959731544,2.8892931066925924,3.083861255723515
swh_Latn,2.2465360950636417,2.395566201681462,1.8751585176835281
ukr_Cyrl,3.077733173452896,3.2928418747719097,2.4505500234607163
zho_Hans,23.292895118414695,20.10971483808603,16.21797970033833
