language,bpe_byte_32k,bpe_gconstr_32k,o200k
amh_Ethi,1.7401538045748262,1.743666756936409,0.4560886084100715
ary_Arab,2.5198236722626968,2.5081054097370012,2.395568270220081
arz_Arab,2.5397587789518625,2.538133333333333,2.519855977973102
eng_Latn,2.933373824865322,2.9327542507128523,4.1335541249581365
grn_Latn,3.097921108742004,3.0874704491725766,2.4324369572041435
hau_Latn,3.0332295455140112,3.033150183150183,2.7826932309169465
hun_Latn,2.8167287977632807,2.8164663125524183,2.507706029994399
ory_Orya,2.8885418990259497,2.4923333547186757,0.8699845477415069
quy_Latn,3.6184791965566716,3.617648746342303,2.564861896432494
swh_Latn,3.1620200177100384,3.1620200177100384,2.9515830077146576
ukr_Cyrl,2.5700234295566067,2.5563494855333744,2.4736830908007827
zho_Hans,1.166883170724966,1.1743810848400555,1.2582029503799732
