language,bpe_byte_32k,bpe_gconstr_32k,o200k
amh_Ethi,2.3485862665897286,2.3438545874206578,8.960761684939412
ary_Arab,1.981691688026364,1.9909504629387456,2.0844797823926347
arz_Arab,1.921353499102794,1.922583952832607,1.9365290951038194
eng_Latn,1.729053467878179,1.7294187480023744,1.227021597187343
grn_Latn,2.1411858699994295,2.148433487416538,2.7269873880043374
hau_Latn,1.5192796947050407,1.519319446652886,1.6560661472412148
hun_Latn,2.2937152629328774,2.293929029499786,2.5763681060282173
ory_Orya,2.056422018348624,2.3833333333333333,6.8277777777777775
quy_Latn,2.185912312613686,2.186414100232077,3.083861255723515
swh_Latn,1.7503640035695833,1.7503640035695833,1.8751585176835281
ukr_Cyrl,2.3586882852823106,2.371304937177415,2.4505500234607163
zho_Hans,17.48719188013533,17.37554374093765,16.21797970033833
