language,bpe_byte_8k,bpe_gconstr_8k,o200k
amh_Ethi,0.5493643949151593,0.5441730556544886,0.8785626891622126
ary_Arab,0.24656140722687295,0.2485510005499852,0.14921328013250018
arz_Arab,0.24065994578109115,0.24060802097207248,0.1413745631684846
eng_Latn,0.17015083355385022,0.1698778722449895,0.10471476947121647
grn_Latn,0.18115331113265606,0.1817989953990967,0.18162603327403998
hau_Latn,0.13084725663342014,0.1312607213198077,0.1027364378300528
hun_Latn,0.219617978721521,0.2194399091360829,0.14866518699827833
ory_Orya,0.26895530674562784,0.30992291692157103,0.848127440075843
quy_Latn,0.16091422226334784,0.1611109824179388,0.1460155391937518
swh_Latn,0.14074554159436348,0.1405984964295437,0.09475503456567479
ukr_Cyrl,0.24208083477318157,0.2423585959448939,0.17253850736107565
zho_Hans,0.9030357105803748,0.9059500959692899,0.721770227983907
