language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,0.2589728793998846,0.2589728793998846,0.002423542989036353
ary_Arab,0.369775592404666,0.3689909504629387,0.3632369095569388
arz_Arab,0.3890797231479108,0.38902845424250193,0.4319405280697257
eng_Latn,0.5165974156431213,0.5174192959225606,0.8318341628236153
grn_Latn,0.34594532899617647,0.3502824858757062,0.27209952633681445
hau_Latn,0.6114247098107807,0.6115837176021625,0.565034186675147
hun_Latn,0.36089140658401025,0.361746472851646,0.3391406584010261
ory_Orya,0.3964831804281346,0.3184505606523955,0.009836901121304791
quy_Latn,0.2744778272596124,0.27466599761650884,0.127830395784984
swh_Latn,0.49607815508900477,0.496829646329435,0.48865717908975626
ukr_Cyrl,0.31479067827537666,0.31411292424795373,0.3217767582503519
zho_Hans,,,
