language,bpe_byte_16k,bpe_parity_16k,o200k
amh_Ethi,1.0242667900734657,1.6076357363355729,0.4560886084100715
ary_Arab,1.8428764478764479,2.157603290841696,2.395568270220081
arz_Arab,1.8516068788421134,2.1437902608225596,2.519855977973102
eng_Latn,3.3058837534597183,2.474405239240845,4.1335541249581365
grn_Latn,1.9716049801540183,2.635870920924326,2.4324369572041435
hau_Latn,2.1302278574053655,2.646433055587262,2.7826932309169465
hun_Latn,2.2499022946792473,2.6367284623773175,2.507706029994399
ory_Orya,1.4087101570149037,2.5862459223753413,0.8699845477415069
quy_Latn,2.286232278182675,2.911256810416474,2.564861896432494
swh_Latn,2.309753420361441,2.658642239920583,2.9515830077146576
ukr_Cyrl,1.9477519431787724,2.531801850843767,2.4736830908007827
zho_Hans,1.118976941425921,0.9683256880733945,1.2582029503799732
