language,bpe_byte_8k,bpe_parity_8k,o200k
amh_Ethi,5.0545874206578185,2.930929024812464,8.960761684939412
ary_Arab,3.29303761050374,2.672228906209133,2.0844797823926347
arz_Arab,3.224301461163804,2.6328120994616766,1.9365290951038194
eng_Latn,1.657732523629058,2.3560568010593124,1.227021597187343
grn_Latn,4.027677909033841,2.89117160303601,2.7269873880043374
hau_Latn,2.491930354587375,2.0177691206869137,1.6560661472412148
hun_Latn,3.501603249251817,2.7868212911500643,2.5763681060282173
ory_Orya,5.731345565749235,2.65316004077472,6.8277777777777775
quy_Latn,4.045662673273537,3.173743962867716,3.083861255723515
swh_Latn,2.8419050302944906,2.4097036306420554,1.8751585176835281
ukr_Cyrl,3.931390438454721,2.7248839997914605,2.4505500234607163
zho_Hans,23.234896085065248,24.524407926534558,16.21797970033833
