language,bpe_byte_8k,bpe_parity_8k,o200k
amh_Ethi,0.8046029499063884,0.508731518122576,0.8785626891622126
ary_Arab,0.43481645036773464,0.29241460311245965,0.14921328013250018
arz_Arab,0.43243758944188265,0.2903822561486184,0.1413745631684846
eng_Latn,0.14386051892249216,0.1987984496124031,0.10471476947121647
grn_Latn,0.37855108604786264,0.21252615372468517,0.18162603327403998
hau_Latn,0.20363073683538851,0.16513327685730608,0.1027364378300528
hun_Latn,0.2766856933549037,0.213492626613228,0.14866518699827833
ory_Orya,0.575443089756245,0.2653539525501873,0.848127440075843
quy_Latn,0.23381395348837208,0.1956165141603589,0.1460155391937518
swh_Latn,0.22969243228056258,0.18023584445960433,0.09475503456567479
ukr_Cyrl,0.3609298748143433,0.21541728848582253,0.17253850736107565
zho_Hans,0.9036673392548832,0.9174434875150272,0.721770227983907
