language,bpe_byte_16k,bpe_gconstr_16k,o200k
amh_Ethi,2.0579149430076487,2.0369135508454392,5.7786625981468385
ary_Arab,1.5416207850956816,1.5377470826387234,1.48286384103003
arz_Arab,1.5298354215648344,1.5255417956656347,1.4055743683250848
eng_Latn,1.0,1.0,1.0
grn_Latn,1.7543823100502962,1.7443141224100975,1.7781788412160906
hau_Latn,1.6195946549209845,1.6147892355322695,1.5502549026904329
hun_Latn,1.599000029761019,1.6009466539652297,1.7939567595728054
ory_Orya,2.4693610309216987,2.43947963800905,4.984966323075206
quy_Latn,1.6415880479747627,1.6360740652536319,1.829568712090202
swh_Latn,1.518258385167108,1.5117289830912122,1.485654746399732
ukr_Cyrl,1.7767923573703164,1.7760776375327458,1.7491162132995943
zho_Hans,1.1229130085414125,1.1173791378899738,1.248651062404644
